int_编号	string_名称	int_地图	int_议事厅	int_集会所	int_酒馆	int_武器店	int_道具店	int_宫殿	int_官邸	int_民宅	int_营帐
1	隆中	153	0	1	1	0	0	0	1	1	0
2	新野	154	1	1	0	1	1	0	0	0	0
3	江夏	155									
4	柴桑	156									
5	赤壁	157									
6	江陵	158									
7	葭萌关	159	0	0	0	0	1	0	0	0	1
8	成都	160	1	1	1	1	1	1	1	0	0
9	汉中	161	1	1	1	1	1	0	1	0	0
10	长安	162									
11	越隽	163									
12	永昌	164									
13	泸水	165									
14	西耳湖	166									
15	秃龙洞	167									
16	银坑洞	168									
17	洛阳	169	1	1	1	1	1	1	1	0	0
18	祁山	170									
19	南安	171									
20	陈仓	172									
21	渭水	173									
22	卤城	174									
23	五丈原	175									
24	眉城	176									
25	函谷关	177									
26	巴西	178									
27	博望坡										
28	长阪坡										
29	长沙										
30	定军山										
31	汉水										
32	阳平关										
33	麦城										
34	夷陵										
35	西平关										
36	建宁										
37	朱提										
38	玉溪峰										
39	夹山谷										
40	三江城										
41	桃叶江										
42	盘蛇谷										
43	凤鸣山										
44	安定										
45	天水										
46	冀城										
47	街亭										
48	箕谷										
49	斜谷										
50	首阳										
51	葫芦谷										
52	太白山										
53	武功										
54	西塞山										
55	华山										
56	琅琊										
57	许昌										
58	襄阳										
59	绵竹关										
60	白帝城										
61	上庸										
62	江南										
63	建业										
64	上圭										
