int_编号	int_名称	int_说明	int_效果	int_价格					
1	焦热书	使用火焰攻击，\n稍微减少敌军部队的耐久力。		10					
2	火龙书	使用火焰攻击，\n减少敌军部队的耐久力。		20					
3	猛火书	使用火焰攻击，\n大量减少敌军部队的耐久力。		30					
4	大焦热书	使用火焰攻击，\n稍微减少敌军数支部队的耐久力。		40					
5	大火龙书	使用火焰攻击，\n减少敌军数支部队的耐久力。		50					
6	大猛火书	使用火焰攻击，\n大量减少敌军数支部队的耐久力。		70					
7	落石书	使用石头攻击，\n稍微减少敌军部队的耐久力。		10					
8	山崩书	使用石头攻击，\n减少敌军部队的耐久力。		20					
9	山洪书	使用石头攻击，\n大量减少敌军部队的耐久力。		30					
10	大落石书	使用石头攻击，\n减少数支敌军部队的耐久力。		40					
11	大山崩书	使用石头攻击，\n稍微减少数支敌军部队的耐久力。		50					
12	大山洪书	使用石头攻击，\n大量减少敌军数支部队的耐久力。		70					
13	查看书	少量减少敌军部队的策略值。		8					
14	侦察书	减少敌军部队的策略值。		15					
15	谍报书	大量减少敌军部队的策略值。		40					
16	压迫书	减少敌军部队的攻击力。		8					
17	威压书	减少数支敌军部队的攻击力。		15					
18	骂声书	减少敌军部队的防御力。		8					
19	挑拨书	减少数支敌军部队的防御力。		15					
20	假情报书	使敌军部队混乱，不能行动。		8					
21	伪兵书	使数支敌军部队混乱，\n不能行动。		15					
22	反间书	使敌军部队的耐久力\n每回合少量减少。		25					
23	流言书	使数支敌军部队的耐久力\n每回合少量减少。		50					
24	牵制书	使敌军部队的攻击速度减半。		8					
25	止步书	使敌军部队的移动速度减半。		8					
26	恢复豆	少量恢复一支部队的耐久力。		10					
27	恢复麦	恢复一支部队的耐久力。		20					
28	恢复米	大幅度恢复一支部队的耐久力。		40					
29	恢复肉	把一支部队的耐久力恢复到最大值。		60					
30	援队书	少量恢复数支我军部队的耐久力。		30					
31	援部书	恢复数支我军部队的耐久力。		50					
32	援军书	大幅度恢复数支我军部队的耐久力。		70					
33	援国书	把数支我军部队的耐久力恢复到最大值。		100					
34	药	少量恢复一支部队的策略值。		30					
35	中药	恢复一支部队的策略值。		60					
36	华佗药	大量恢复一支部队的策略值。		100					
37	苏醒书	使处於混乱状态的部队恢复正常。		8					
38	恢复书	使处於每回合耐久力减少状态\n的部队恢复正常。		15					
39	释放书	使处於攻击速度减半状态\n的部队恢复正常。		8					
40	轻功书	使处於移动速度减半状态\n的部队恢复正常。		8					
41	奋起书	增加我军一支部队的攻击力。		15					
42	鼓舞书	增加我军数支部队的攻击力。		30					
43	坚固书	增加我军一支部队的防御力。		15					
