int_编号	string_名称	string_字	int_阵营	int_头像	int_头像2	int_武力	int_统御	int_智力	int_旧武力	int_旧统御	int_旧智力	int_耐久	int_策略	int_兵种	int_等级	int_经验	int_道具1	int_道具2	int_道具3	int_道具4	int_道具5	int_道具6	int_道具7	int_道具8	int_道具9	int_道具10	int_道具11	int_道具12	int_道具13	int_道具14	int_道具15	int_rowInYJZ	string_列传
1	諸葛亮	孔明	6	400	400	44	94	100	10	24	45	44	40	19	1	0	136	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	287	諸葛珪之子，諸葛瑾之弟。諸葛均之兄，諸葛瞻之父。[n][green][13520][normal]自幼在叔父諸葛玄的庇護下成長，之後進入司馬徽門下被稱為「[wheat]臥龍[normal]」。被劉備三顧茅廬所招攬後，說動孫權軍並在赤壁之戰大破曹操軍。在自己的三分天下之計下，使劉備稱霸荊州南部和益州並建立蜀國。隨劉備即帝位後成為丞相，受劉備臨終受託輔佐劉禪。劉備死後，和吳國恢復邦交並且平定南蠻。反覆地進行北伐，全心執著的想要討伐魏國，卻病逝五丈原。[n][green][13512][normal]比起神機妙算的軍事戰略家，多半是以政治家的身分被描述較多。
2	劉備	玄德	9	883	877	75	91	64	20	24	21	54	286	1	1	0	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	614	漢之中山靖王劉勝之子孫。蜀之昭烈皇帝。劉禪之父。[n][green][13520][normal]桃園三結義時與關羽、張飛結為義兄弟，於黃巾黨及董卓之討伐戰中表現傑出。雖受徐州牧陶謙之請求接掌其地位，卻為呂布所奪，故投靠曹操。受獻帝賜與皇叔稱號，參與曹操暗殺計劃但事跡敗露。故遠走投靠袁紹及劉表。以三顧茅廬之禮迎請諸葛亮後，支配荊州益州建立起一大勢力範圍。自曹操處奪走漢中成為漢中王，於221年建蜀國。為報關羽之仇進攻吳國，但慘敗於陸遜後病歿。[n][green][13512][normal]喜好狩獵及音樂，並重視自身之修養。
3	關羽	雲長	9	144	140	98	100	80	29	30	21	58	0	7	1	0	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98	劉備的義弟，張飛的義兄。關平、關興、關索之父。[n][green][13520][normal]在桃園結義和劉備、張飛結為兄弟。董卓討伐戰中因擊敗華雄而聲名大噪。在劉備敗給曹操時，為了保護劉備之妻而向曹操投降。斬殺袁紹軍的顏良和文醜回報曹操的恩情之後，就過五關斬六將回到劉備麾下。劉備入蜀後雖然統治了荊州，卻與同盟的孫權關係惡化。在掛上五虎將軍之首的稱號進軍中原後，被破棄同盟關係的孫權軍奪去荊州，在麥城同關平等雙雙被殺。[n][green][13512][normal]好讀「[wheat]春秋左氏傳[normal]」，並暗記其內容。
4	張飛	翼德	9	610	606	99	83	42	30	19	6	64	0	7	1	0	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	422	劉備、關羽之義弟。張苞、張紹之父。正史中字為益德。[n][green][13520][normal]於桃園立誓與劉備、關羽結為義兄弟。雖正義好漢，卻常喝酒誤事，奉劉備之命守護下邳之時，因爛醉遭呂布奪城。但論武勇可謂數一數二，於長坂坡之戰亦曾單槍匹馬趕走曹操大軍。於益州侵略戰時，利用智謀逮捕嚴顏時亦知禮數，以將軍身分看來成長甚多。但於關羽復仇戰時，卻因鞭打要求再通融準備出陣時間之范彊及張達，故遭懷恨在心，於酒醉之時遇害。[n][green][13512][normal]其妻為夏侯霸表妹，其女則成為劉禪之皇后。
5	姜維	伯約	1	210	206	90	80	94	22	22	24	48	0	7	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	133	魏國天水太守馬遵的部下。後為蜀將。[n][green][13520][normal]在第一次北伐時迎擊蜀軍，雖一度擊敗諸葛亮，卻陷入諸葛亮的陷阱而向蜀軍投降。之後就以蜀將參加諸葛亮的北伐，在諸葛亮臨終之際還授得兵法。諸葛亮死後，對出兵採消極態度的費禕一死，便成為大將軍指揮北伐。在鍾會和鄧艾進攻蜀國時，雖在劍閣死守抵抗，最後因顧慮先投降的劉禪的性命而投降。雖立志再興蜀國而同鍾會舉兵，卻戰敗而死。[n][green][13512][normal]諸葛亮如此讚賞「[wheat]身懷有馬良以上的才能，為涼州最傑出的人才[normal]」。
6	馬謖	幼常	5	721	721	69	72	84	16	18	21	42	281	1	1	0	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	499	蜀國武將。馬良之弟。[n][green][13520][normal]於征伐南蠻時提倡「[wheat]攻略南蠻人之心[normal]」，得諸葛亮之信任。自南蠻返國後，因謀反謠言致使司馬懿失勢，完成北伐之準備。228年，雖自願負責街亭之守備，但違反諸葛亮命令故慘敗於魏國之張郃。因此場敗仗，導致蜀軍攻略長安陷入絕望，受諸葛亮之命遭處刑（揮淚斬馬謖）。劉備於臨終之際，曾留下「[wheat]不可重用馬謖[normal]」之遺言予諸葛亮。[n][green][13512][normal]防守街亭理應由經驗豐富之魏延或吳懿適才適任。於戰敗後，同意馬謖逃亡之向朗失勢。
7	趙雲	子龍	9	557	553	96	87	84	25	24	20	56	0	7	1	0	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	384	蜀國五虎將軍之一。趙統、趙廣父親。[n][green][13520][normal]一開始仕官於袁紹、公孫瓚，之後成為劉備麾下。長坂坡之戰單騎闖入曹操大軍中，救出了甘氏和阿斗（劉禪）。漢中攻防戰則以單挑阻止了曹操軍的進軍，劉備曾誇他「[wheat]子龍一身是膽[normal]」。就算是街亭的敗戰，只有趙雲的部隊不損一兵一卒地成功撤退。另外也有參與蜀攻略戰、南蠻平定戰等常隨諸葛亮進行遠征，深受劉備和諸葛亮的信賴。[n][green][13512][normal]在博望之戰俘虜了同鄉夏侯蘭，並替他請命。之後自己也不接近夏侯蘭，用著慎重的態度自處。
8	魏延	文長	5	193	189	92	80	51	23	20	11	52	0	7	1	0	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	123	原為劉表武將。仕官於韓玄，之後加入劉備軍。[n][green][13520][normal]劉備軍在侵攻南荊州時，斬殺太守韓玄並交出長沙。諸葛亮指說他有反骨之相該處斬，但劉備並不介意並收為戰將。在益州侵攻戰和黃忠一起爭功，在漢中攻防戰曾射中曹操而十分活躍。劉備在當上漢中王時，被任命為漢中太守。之後在諸葛亮征討南蠻、北伐時隨軍。雖是蜀軍的主力，但在北伐的路線方向上和諸葛亮起衝突。諸葛亮死後，和楊儀對立因而造反，而被馬岱斬殺。[n][green][13512][normal]當他擠下張飛成為漢中太守時，曾讓周圍的人大吃一驚。
9	關興	安國	9	155	155	88	85	70	21	19	13	47	0	7	1	0	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	106	關羽次男，關統之父，張苞的義弟。[n][green][13520][normal]當關羽進攻曹操軍的襄陽，大破于禁時，便向成都的劉備報告戰果。當關羽敗給孫權軍戰死時，加入劉備所組的復仇之軍的行列，便和爭搶先鋒的張苞結為義兄弟。斬殺了吳國的李異、周平，並討伐抓住關羽的潘璋奪回青龍偃月刀，但蜀軍終是戰敗。之後參加諸葛亮的北伐。和西羌軍之戰中斬殺越吉等表現大為活躍，卻在第五次北伐前病死。[n][green][13512][normal]其才能曾受到諸葛亮評價。繼承關羽之後，20歲時任侍中、中監軍，卻在數年後死去。
10	張苞		9	616	616	92	83	37	21	19	7	50	0	16	1	0	84	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	425	張飛長男。張紹之兄。張遵之父。關興之義兄。[n][green][13520][normal]張飛遭部下范彊、張達所殺，范彊等人逃往吳國後，加入劉備指揮下之吳國討伐軍。於互爭先鋒一職之時與關興締結為義兄弟，二人同心協力於初戰獲勝。殺遭吳國遣返之范彊及張達為父報仇。但劉備軍卻於夷陵之戰慘敗於陸遜。其後參加諸葛亮之北伐。於第三回北伐時於追擊魏國之郭淮、孫禮中跌落谷底，因受傷之故不久後死亡。[n][green][13512][normal]僅有英才早逝，由其弟張紹接掌其地位之記述。
