int_编号	string_名称	string_说明	int_消耗	int_类型	int_选择范围	int_效果范围	int_效果	int_动画	int_音效
1	焦热		4	1	2	0		200	19
2	火龙		8	1	3	0		200	50
3	猛火		12	1	4	0		201	51
4	大焦热		6	1	2	1		202	52
5	大火龙		14	1	3	1		200	50
6	大猛火		22	1	4	1		201	51
7	落石		4	3	2	0			
8	山崩		8	3	3	0		220	56
9	山洪		12	3	4	0		221	57
10	大落石		6	3	2	1		222	58
11	大山崩		14	3	3	1		220	56
12	大山洪		22	3	4	1		221	57
13	查看		8		2				
14	侦察		16		3				
15	谍报		24		4				
16	压迫		8		2				
17	威压		16		3				
18	骂声		8		2				
19	挑拨		16		3				
20	假情报		8		2			240	70
21	伪兵		16		3			240	71
22	反间		12		2				
23	流言		24		3				
24	牵制		6		2				
25	止步		6		2				
26	小补给		8		1	0		230	75
27	中补给		12		1	0		230	76
28	大补给		16		1	0		230	77
29	全补给		24		1	0			
30	援队		16		0			230	75
31	援部		24		0			230	76
32	援军		32		0			230	77
33	援国		48		0				
34	进言		12		1				
35	献策		24		1				
36	施策		36		1				
37	觉醒		10		1				
38	康复		12		1				
39	解放		8		1				
40	轻功		8		1				
41	奋起		12		1				
42	鼓舞		24		1				
43	坚固		12		1				
44	强阵		24		1				
45	对策		16		1				
46	回归		16		1				
47	升格		24		1				
48	封策		12		2				
	漩涡		4	2	2	0		210	54
	浊流		8	2	3	0		210	55
	海啸		12	2	4	0		211	53
	大漩涡		6	2	2	1		210	54
	大浊流		14	2	3	1		210	55
	大海啸		22	2	4	1			
									
									
									
									
									
