int_人物	array_兵种	int_形象
1	19	185
1	20	116
1	21	186
2	1,2	138
2	3	148
2	7	126
2	8	242
2	9	243
3	7	127
3	8	128
3	9	142
3	1,2,3	237
4	7	129
4	8	130
4	9	143
4	1,2,3	251
5	7,8,9	134
6	1,2	203
6	3	204
6	19,20,21	217
7	7	131
7	8	135
7	9	136
7	1,2,3	182
8	7,8,9	171
9	9	213
10	9	229
11	3	179
14	19,20,21	139
15	7,8,9	178
21	23	137
48	4,5,6	176
48	7,8,9	177
48	16,17,18	240
57	7	199
57	8	200
57	9	201
58	23	158
61	31	227
61	32	228
66	7	100
66	8	101
66	9	102
67	7	103
67	8	104
67	9	105
68	16	246
68	17	247
68	18	248
69	1,2,3	192
75	1,2,3	146
75	7	106
75	8	107
75	9	108
76	1	122
76	2,22	123
76	3,23	124
76	7,8,9	166
77	7,8,9	156
78	1,2,3	207
80	1,2,3	216
83	7,8,9	215
92	7,8,9,16,17,18	250
97	19,20,21,33,34	149
150	33	234
151	19,20,21,34	141
156	19,20,21,34	154
171	24,25	175
213	4,5,6	180
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
