array_兵种	int_地形	int_移动消耗	int_防御
26,27,31,35,36,40	3	1	
7,8,9,10,11,12,13,14,15,16,17,18,28,29,30,37	3	255	
7,8,9,10,11,12,13,14,15,16,17,18,28,29,30,32,37	4	2	
22,23	5	1	
24,25,26,27,31,35,36,38,40	5	2	
10,11,12,13,14,15,28,29,30,37	6	2	
10,11,12,13,14,15,37	7	2	
22,23,24,25,31,35,36,40	8	1	
7,8,9,10,11,12,16,17,18	8	3	
7,8,9,10,11,12,16,17,18	9	3	
7,8,9,10,11,12,16,17,18	10	3	
7,8,9,10,11,12,16,17,18	11	3	
7,8,9,10,11,12,16,17,18	12	3	
7,8,9,10,11,12,16,17,18	13	3	
7,8,9,10,11,12,16,17,18	14	3	
24,25	15	2	
22,23	15	3	
10,11,12,13,14,15,28,29,30,37	16	2	
31,35,36,40	17	1	
22,23,24,25	17	2	
13,14,15	1		110
16,17,18,32,37	1		120
10,11,12	1		130
26,27	2		110
7,8,9,10,11,12,16,17,1828,29,30,32,37,38	2		120
37	3		80
33,34	3		100
22,23,32	3		110
24,25,31,35,36,40,38	3		120
26,27	3		130
10,11,12,13,14,15	4		60
7,8,9,16,17,18,28,29,30	4		70
32,33,34,38	4		100
26,27,31,35,36,40	4		120
24,25	4		130
24,25,26,27,31,35,36,38,40	5		120
22,23	5		130
31,32,35,36,37,40	6		70
10,11,12,26,27,38	6		80
7,8,9,16,17,18,22,23,28,29,30	6		90
33,34	6		120
13,14,15	6		130
13,14,15,37	7		70
10,11,12,26,27,38	7		80
33,34	13		140
33,34	14		140
22,23	15		90
24,25	15		80
31,32,35,36,37,40	16		70
10,11,12,26,27,38	16		80
16,17,18,22,23	16		90
33,34	16		120
13,14,15	16		130
22,23,24,25,31,35,36,40	17		80
